MPG,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,Average_weight,Average_MPG
32.4,4,108,75,2350,16.8,1981,Japanese,toyota corolla,2522.931034,30.33
32.9,4,119,100,2615,14.8,1981,Japanese,datsun 200sx,2522.931034,30.33
31.6,4,120,74,2635,18.3,1981,Japanese,mazda 626,2522.931034,30.33
28.1,4,141,80,3230,20.4,1981,European,peugeot 505s turbo diesel,2522.931034,30.33
30.7,6,145,76,3160,19.6,1981,European,volvo diesel,2522.931034,30.33
25.4,6,168,116,2900,12.6,1981,Japanese,toyota cressida,2522.931034,30.33
24.2,6,146,120,2930,13.8,1981,Japanese,datsun 810 maxima,2522.931034,30.33
22.4,6,231,110,3415,15.8,1981,American,buick century,2522.931034,30.33
26.6,8,350,105,3725,19,1981,American,oldsmobile cutlass ls,2522.931034,30.33
20.2,6,200,88,3060,17.1,1981,American,ford granada gl,2522.931034,30.33
17.6,6,225,85,3465,16.6,1981,American,chrysler lebaron salon,2522.931034,30.33
28,4,112,88,2605,19.6,1982,American,chevrolet cavalier,2453.548387,31.7
27,4,112,88,2640,18.6,1982,American,chevrolet cavalier wagon,2453.548387,31.7
34,4,112,88,2395,18,1982,American,chevrolet cavalier 2-door,2453.548387,31.7
31,4,112,85,2575,16.2,1982,American,pontiac j2000 se hatchback,2453.548387,31.7
29,4,135,84,2525,16,1982,American,dodge aries se,2453.548387,31.7
27,4,151,90,2735,18,1982,American,pontiac phoenix,2453.548387,31.7
24,4,140,92,2865,16.4,1982,American,ford fairmont futura,2453.548387,31.7
23,4,151,?,3035,20.5,1982,American,amc concord dl,2453.548387,31.7
36,4,105,74,1980,15.3,1982,European,volkswagen rabbit l,2453.548387,31.7
37,4,91,68,2025,18.2,1982,Japanese,mazda glc custom l,2453.548387,31.7
31,4,91,68,1970,17.6,1982,Japanese,mazda glc custom,2453.548387,31.7
38,4,105,63,2125,14.7,1982,American,plymouth horizon miser,2453.548387,31.7
36,4,98,70,2125,17.3,1982,American,mercury lynx l,2453.548387,31.7
36,4,120,88,2160,14.5,1982,Japanese,nissan stanza xe,2453.548387,31.7
36,4,107,75,2205,14.5,1982,Japanese,honda accord,2453.548387,31.7
34,4,108,70,2245,16.9,1982,Japanese,toyota corolla,2453.548387,31.7
38,4,91,67,1965,15,1982,Japanese,honda civic,2453.548387,31.7
32,4,91,67,1965,15.7,1982,Japanese,honda civic (auto),2453.548387,31.7
38,4,91,67,1995,16.2,1982,Japanese,datsun 310 gx,2453.548387,31.7
25,6,181,110,2945,16.4,1982,American,buick century limited,2453.548387,31.7
38,6,262,85,3015,17,1982,American,oldsmobile cutlass ciera (diesel),2453.548387,31.7
26,4,156,92,2585,14.5,1982,American,chrysler lebaron medallion,2453.548387,31.7
22,6,232,112,2835,14.7,1982,American,ford granada l,2453.548387,31.7
32,4,144,96,2665,13.9,1982,Japanese,toyota celica gt,2453.548387,31.7
36,4,135,84,2370,13,1982,American,dodge charger 2.2,2453.548387,31.7
27,4,151,90,2950,17.3,1982,American,chevrolet camaro,2453.548387,31.7
27,4,140,86,2790,15.6,1982,American,ford mustang gl,2453.548387,31.7
44,4,97,52,2130,24.6,1982,European,vw pickup,2453.548387,31.7
32,4,135,84,2295,11.6,1982,American,dodge rampage,2453.548387,31.7
28,4,120,79,2625,18.6,1982,American,ford ranger,2453.548387,31.7
31,4,119,82,2720,19.4,1982,American,chevy s-10,2453.548387,31.7
